final_loss,stem_length,stem_width,branch_length,branch_width,learning_rate
9.766851,3,2,1,3,0.001
9.202618,3,2,1,4,0.001
8.150025,3,2,1,5,0.001
10.747007,3,2,2,1,0.001
10.629232,3,2,2,2,0.001
8.365889,3,2,2,3,0.001
9.35717,3,2,2,4,0.001
9.122901,3,2,2,5,0.001
9.53549,3,2,3,1,0.001
8.861757,3,2,3,2,0.001
9.262393,3,2,3,3,0.001
9.698066,3,2,3,4,0.001
8.834493,3,2,3,5,0.001
9.722885,3,2,4,1,0.001
9.285532,3,2,4,2,0.001
9.124592,3,2,4,3,0.001
5.2825413,3,2,4,4,0.001
9.228472,3,2,4,5,0.001
8.508952,3,2,5,1,0.001
9.735451,3,2,5,2,0.001
9.287684,3,2,5,3,0.001
8.278152,3,2,5,4,0.001
7.055346,3,2,5,5,0.001
8.883536,3,3,1,1,0.001
14.405554,3,3,1,2,0.001
9.637616,3,3,1,3,0.001
9.656173,3,3,1,4,0.001
6.9453697,3,3,1,5,0.001
10.400223,3,3,2,1,0.001
10.553902,3,3,2,2,0.001
9.200779,3,3,2,3,0.001
8.734602,3,3,2,4,0.001
8.099117,3,3,2,5,0.001
10.209249,3,3,3,1,0.001
8.702416,3,3,3,2,0.001
8.345942,3,3,3,3,0.001
5.8654265,3,3,3,4,0.001
8.209878,3,3,3,5,0.001
9.762474,3,3,4,1,0.001
9.877797,3,3,4,2,0.001
9.394237,3,3,4,3,0.001
4.973754,3,3,4,4,0.001
9.16853,3,3,4,5,0.001
9.809173,3,3,5,1,0.001
9.116258,3,3,5,2,0.001
7.935428,3,3,5,3,0.001
8.623524,3,3,5,4,0.001
12.246108,3,3,5,5,0.001
6.2116303,3,4,1,1,0.001
10.528558,3,4,1,2,0.001
10.190117,3,4,1,3,0.001
8.388791,3,4,1,4,0.001
7.7797804,3,4,1,5,0.001
10.142676,3,4,2,1,0.001
9.954947,3,4,2,2,0.001
7.8885984,3,4,2,3,0.001
5.167668,3,4,2,4,0.001
7.118133,3,4,2,5,0.001
10.30645,3,4,3,1,0.001
10.282042,3,4,3,2,0.001
8.743437,3,4,3,3,0.001
6.69641,3,4,3,4,0.001
8.86701,3,4,3,5,0.001
10.514545,3,4,4,1,0.001
9.944663,3,4,4,2,0.001
8.216389,3,4,4,3,0.001
9.258848,3,4,4,4,0.001
8.461384,3,4,4,5,0.001
10.051641,3,4,5,1,0.001
9.149304,3,4,5,2,0.001
9.481433,3,4,5,3,0.001
6.162556,3,4,5,4,0.001
5.303787,3,4,5,5,0.001
11.214372,3,5,1,1,0.001
9.056393,3,5,1,2,0.001
9.17239,3,5,1,3,0.001
8.985124,3,5,1,4,0.001
5.494465,3,5,1,5,0.001
9.658108,3,5,2,1,0.001
8.959681,3,5,2,2,0.001
8.465588,3,5,2,3,0.001
5.823126,3,5,2,4,0.001
6.4568377,3,5,2,5,0.001
5.093006,3,5,3,1,0.001
7.576871,3,5,3,2,0.001
9.3947525,3,5,3,3,0.001
7.2269645,3,5,3,4,0.001
6.9367604,3,5,3,5,0.001
8.26854,3,5,4,1,0.001
10.228309,3,5,4,2,0.001
9.224165,3,5,4,3,0.001
8.26475,3,5,4,4,0.001
6.2042656,3,5,4,5,0.001
10.603372,3,5,5,1,0.001
9.417774,3,5,5,2,0.001
7.9827256,3,5,5,3,0.001
7.008064,3,5,5,4,0.001
7.859116,3,5,5,5,0.001
10.64186,4,1,1,1,0.001
9.900722,4,1,1,2,0.001
9.273448,4,1,1,3,0.001
9.089039,4,1,1,4,0.001
8.750017,4,1,1,5,0.001
10.942373,4,1,2,1,0.001
9.40825,4,1,2,2,0.001
10.200528,4,1,2,3,0.001
9.366342,4,1,2,4,0.001
9.545451,4,1,2,5,0.001
10.615653,4,1,3,1,0.001
9.417537,4,1,3,2,0.001
9.590701,4,1,3,3,0.001
9.388266,4,1,3,4,0.001
8.536839,4,1,3,5,0.001
9.363381,4,1,4,1,0.001
9.660964,4,1,4,2,0.001
9.525987,4,1,4,3,0.001
8.673627,4,1,4,4,0.001
9.350941,4,1,4,5,0.001
9.827339,4,1,5,1,0.001
10.250713,4,1,5,2,0.001
9.517522,4,1,5,3,0.001
9.352328,4,1,5,4,0.001
9.31818,4,1,5,5,0.001
10.999463,4,2,1,1,0.001
7.4188423,4,2,1,2,0.001
8.627637,4,2,1,3,0.001
8.598143,4,2,1,4,0.001
9.6355915,4,2,1,5,0.001
10.96498,4,2,2,1,0.001
9.450632,4,2,2,2,0.001
8.822118,4,2,2,3,0.001
9.360951,4,2,2,4,0.001
9.401442,4,2,2,5,0.001
9.384298,4,2,3,1,0.001
8.968932,4,2,3,2,0.001
9.388976,4,2,3,3,0.001
9.406539,4,2,3,4,0.001
9.384006,4,2,3,5,0.001
10.435402,4,2,4,1,0.001
9.458174,4,2,4,2,0.001
8.926652,4,2,4,3,0.001
8.953408,4,2,4,4,0.001
9.160336,4,2,4,5,0.001
9.294226,4,2,5,1,0.001
9.582944,4,2,5,2,0.001
9.223668,4,2,5,3,0.001
9.008035,4,2,5,4,0.001
9.382874,4,2,5,5,0.001
16.614567,4,3,1,1,0.001
10.329215,4,3,1,2,0.001
9.874714,4,3,1,3,0.001
9.600366,4,3,1,4,0.001
7.8877287,4,3,1,5,0.001
7.626959,4,3,2,1,0.001
8.942904,4,3,2,2,0.001
8.153962,4,3,2,3,0.001
7.1278687,4,3,2,4,0.001
8.2816725,4,3,2,5,0.001
10.1595745,4,3,3,1,0.001
9.4281845,4,3,3,2,0.001
9.361636,4,3,3,3,0.001
9.343644,4,3,3,4,0.001
8.767279,4,3,3,5,0.001
10.059216,4,3,4,1,0.001
9.244153,4,3,4,2,0.001
9.176446,4,3,4,3,0.001
8.441349,4,3,4,4,0.001
7.0317874,4,3,4,5,0.001
10.640422,4,3,5,1,0.001
8.949041,4,3,5,2,0.001
9.302268,4,3,5,3,0.001
9.3126,4,3,5,4,0.001
7.793968,4,3,5,5,0.001
10.4549465,4,4,1,1,0.001
6.8363304,4,4,1,2,0.001
9.224025,4,4,1,3,0.001
9.491025,4,4,1,4,0.001
9.81554,4,4,1,5,0.001
10.845053,4,4,2,1,0.001
10.35027,4,4,2,2,0.001
6.9030967,4,4,2,3,0.001
8.803146,4,4,2,4,0.001
5.057882,4,4,2,5,0.001
6.3941135,4,4,3,1,0.001
8.041188,4,4,3,2,0.001
5.287038,4,4,3,3,0.001
8.426713,4,4,3,4,0.001
5.6530266,4,4,3,5,0.001
10.352796,4,4,4,1,0.001
9.714283,4,4,4,2,0.001
9.638243,4,4,4,3,0.001
8.195876,4,4,4,4,0.001
6.856143,4,4,4,5,0.001
9.689542,4,4,5,1,0.001
8.865802,4,4,5,2,0.001
9.31018,4,4,5,3,0.001
9.015116,4,4,5,4,0.001
8.3829975,4,4,5,5,0.001
7.6790314,4,5,1,1,0.001
9.375718,4,5,1,2,0.001
7.1174684,4,5,1,3,0.001
4.5476513,4,5,1,4,0.001
4.354943,4,5,1,5,0.001
15.512729,4,5,2,1,0.001
7.386735,4,5,2,2,0.001
9.118704,4,5,2,3,0.001
8.1176605,4,5,2,4,0.001
9.389731,4,5,2,5,0.001
9.150296,4,5,3,1,0.001
10.38565,4,5,3,2,0.001
9.089189,4,5,3,3,0.001
8.632357,4,5,3,4,0.001
8.227907,4,5,3,5,0.001
9.878028,4,5,4,1,0.001
9.262103,4,5,4,2,0.001
8.048189,4,5,4,3,0.001
8.427594,4,5,4,4,0.001
5.148165,4,5,4,5,0.001
7.773579,4,5,5,1,0.001
8.948111,4,5,5,2,0.001
9.3662815,4,5,5,3,0.001
7.565286,4,5,5,4,0.001
5.2034254,4,5,5,5,0.001
10.811519,5,1,1,1,0.001
10.5028925,5,1,1,2,0.001
10.045606,5,1,1,3,0.001
9.401942,5,1,1,4,0.001
9.308339,5,1,1,5,0.001
9.375012,5,1,2,1,0.001
9.586202,5,1,2,2,0.001
9.431452,5,1,2,3,0.001
9.270266,5,1,2,4,0.001
